Azulejo-Código;Procedência;Fábrica;Dimensão-Formato;Material, Técnica de Fabricação e Decorativa;Endereço;Bairro;Uso-Aplicação;TIPOLOGIAS
FE 43-1-1;Lisboa/Portugal;x;13,3 x 6,5 cm;Cerâmica e vidrado Estampinha;Travessa Pedro Albuquerque n° 71;Cidade Velha;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 44-1-1;Porto/Portugal;x;x;Cerâmica e vidrado Estampinha;Demolido antes de 1986;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 45-1-1;Porto/Portugal;x;x;Cerâmica e vidrado Estampinha;Travessa São Francisco n° 60;Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 46-1-1;Porto/Portugal;x;x;Cerâmica e vidrado Estampinha;Travessa São Francisco n° 60;Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 47-1-1;x;x;14,4 x 6,8 cm;Cerâmica e vidrado Estampinha;Travessa Rui Barbosa n° 717 e 723;Reduto;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 48-1-1 (a e b-canto);x;x;x;Cerâmica e vidrado Estampinha;Rua Oliveira Belo n° 260 e 264;Umarizal;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 49-1-1;x/Portugal;x;15,1 x 7,6 cm;Cerâmica e vidrado Estampinha;"Travessa Frutuoso Guimarães n° 400, 441, 565, 584, 590, 596 e 602; Travessa Presidente Pernambuco n° 204; Rua Riachuelo n° 43 e s/n°";Campina/Batista Campos;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 49-1-2;x;x;15,1 x 7,6 cm;Cerâmica e vidrado Estampinha;Demolido antes de 1986;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 50-1-1;x/Portugal;x;x;Cerâmica e vidrado Estampinha;Demolido antes de 1986;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 51-1-1;x/Portugal;x;15,4 x 7,4 cm;Cerâmica e vidrado Estampinha;Rua Senador Manoel Barata n° 492/496;Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 52-1-1;x/Alemanha;Provavelmente Wessel's Wandplatten-Fabrik-Bonn Dransdorf;14,5 x 7 cm;Cerâmica e vidrado Estampinha;Avenida Brás de Aguiar n° 55;Nazaré;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 53-1-1;x/Portugal;x;14 x 6,8 cm;Cerâmica e vidrado Estampinha;Rua Dr. Assis n° 213-215;Cidade Velha;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 54-1-1;x/Portugal;x;x;Cerâmica e vidrado Estampinha;Travessa São Francisco n° 60;Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 55-1-1;x/Portugal;x;x;Cerâmica e vidrado Estampinha;Rua Senador Manoel Barata n° 271;Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 56-1-1;x/Provavelmente Portugal;x;x;Cerâmica e vidrado Estampinha;Travessa Campos Sales n° 365/375;Comércio;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 57-1-1;x/Provavelmente Portugal;x;x;Cerâmica e vidrado Estampinha;Demolido antes de 1986;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 58-1-1;x;x;15 x 7,5 cm;Cerâmica e vidrado Estampinha;Avenido Conselheiro Furtado n° 1881;Nazaré;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 59-1-1;x;x;15 x 7,5 cm;Cerâmica e vidrado Estampinha;Demolido;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 60-1-1;x;x;14,2 x 6,6 cm;Cerâmica e vidrado Estampinha;Travessa São Francisco n° 60;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 61-1-1;x;x;15 x 7,5 cm;Cerâmica e vidrado Estampinha;Demolido;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FI 1-1-1;x;x;x;Cerâmica e vidrado Transferência ou Impressão;"Rua Senador Manoel Barata n° 105; Avenida Gentil Bittencourt n° 49";Campina/Nazaré;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FI 2-1-1;x;x;15,1 x 7,5 cm;Cerâmica e vidrado Transferência ou Impressão;Avenida Generalíssimo Deodoro n° 384;Nazaré;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CD  4-1-1;Dresden/Alemanha;Villeroy & Boch Mosaik Fabrik;14 x 14 cm;Cerâmica e vidrado Transferência ou Impressão (Decalcomania);"Rua Santo Antônio n° 254, 260, 274/276; Rua Alcindo Cacela n° 1858; Travessa Padre Eutiquio n° 225 e Avenida Castilhos França n° 278";Campina/Nazaré;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CD 5-1-1;x/França;Boulenger & Cia Choisy Le Roi/Seine;10,5 x 10,5 cm;Cerâmica e vidrado Transferência ou Impressão (Decalcomania);Rua Santo Antônio n° 220 e 224;Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CD 5-1-2;x/França;Boulenger & Cia Choisy Le Roi/Seine;10,5 x 10,5 cm;Cerâmica e vidrado Transferência ou Impressão (Decalcomania);"Rua Ó de Almeida n° 306; Rua Senador Manoel Barata n° 347/351 e 363; Avenida Serzedelo Correa n° 1074 e 1078; Rua Arcipreste Manoel Teodoro n° 594; Avenida 16 de Novembro n° 41, 421, 427 e 443; Rua 28 de setembro n° 136, 138/142";Campina/Batista Campos;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CD 6-1-1;x/França;Boulenger & Cia Choisy Le Roi/Seine;10,4 x 10,4 cm;Cerâmica e vidrado Transferência ou Impressão (Decalcomania);"Travessa Félix Roque n° 260, 268 e 316; Rua Dr. Malcher n° 477; Travessa Rui Barbosa n° 1023; Avenida Portugal n° 57; Rua Marquês de Pombal n° 76/80; Rua Gaspar Viana n° 283/289; Rua 15 de Novembro n° 13; Avenida Castilhos França n° 648";Cidade Velha/Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CD 7-1-1;Dresden/Alemanha;Villeroy & Boch Mosaik Fabrik - In Mettlach - n° do catálogo 456;14,6 x 14,6 cm;Cerâmica e vidrado Transferência ou Impressão (Decalcomania);"Rua Ó de Almeida n° 1209, 1227, 1235 e 1245; Avenida Nazaré n° 154 e 166; Rua Mundurucus n° 619; Travessa Padre Eutiquio n° 1192, 1198, 1206 e 1214";Reduto/Nazaré/Batista Campos;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CD 8-1-1;Dresden/Alemanha;Villeroy & Boch Mosaik Fabrik (1900-1910) n° do catálogo 761;14 x 14 cm;Cerâmica e vidrado Transferência ou Impressão (Decalcomania);"Rua Ó de Almeida n° 1116; Avenida Assis de Vasconcelos n° 831; Rua Tomázia Perdigão n° 240; Rua Gaspar Viana n° 152/154/158; Travessa Leão XIII n° 22/24/26";Cidade Velha/Reduto/Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CD 9-1-1;x;x;12,3 x 12,3 cm;Cerâmica e vidrado Transferência ou Impressão (Decalcomania);"Rua Santo Antônio n° 139/153/159; Travessa Leão XIII n° 55/79";Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CD 10-1-1 (a e b);x/Provavelmente Alemanha;Villeroy & Boch Mosaik Fabrik in Mettlach;14,5 x 14,5 cm;Cerâmica e vidrado Transferência ou Impressão (Decalcomania);Demolido antes de 1986;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CD 10-1-2;x/Provavelmente Alemanha;Villeroy & Boch Mosaik Fabrik in Mettlach;14,5 x 14,5 cm;Cerâmica e vidrado Transferência ou Impressão (Decalcomania);Avenida Portugal n° 93;Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CD 11-1-1;x;x;x;Cerâmica e vidrado Transferência ou Impressão (Decalcomania);Rua dos Mundurucus n° 1387;Batista Campos;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CD 12-1-1;x;x;x;Cerâmica e vidrado Transferência ou Impressão (Decalcomania);Travessa Benjamin  Constant n° 1009;Nazaré;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CD 13-1-1;x;x;x;Cerâmica e vidrado Transferência ou Impressão (Decalcomania);Demolido antes de 1986;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CD 14-1-1;x/Alemanha;Villeroy & Boch;14 x 14 cm;Cerâmica e vidrado Transferência ou Impressão (Decalcomania);Travessa Dr. Moraes n° 85, 91, 107 e 115;Nazaré;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CD 15-1-1;x/França;H. TE Boulenger & Cie Faiencerie de Choisy Le Roy;21 x 21 cm;Cerâmica e vidrado Transferência ou Impressão (Decalcomania);Demolido antes de 1986;x ;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CI  1-1-1 (a e b);x;x;14,5 x 14,5 cm;Cerâmica e vidrado Transferência ou Impressão;Rua 28 de Setembro n° 70/752;Nazaré/Reduto;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CI  2-1-1;x;x;10,9 x 10,9 cm;Cerâmica e vidrado Transferência ou Impressão;"Rua Inacio Gilhon n° 41; Avenida Generalíssimo Deodoro n° 1130";comércio/Nazaré;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CI  3-1-1 (a e b);x/Portugal;Carvalhinho;14 x 7 cm;Cerâmica e vidrado Transferência ou Impressão;Avenida Conselheiro Furtado n° 456;Batista Campos;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FD 6-1-1;x/Inglaterra;H & R Johnson - Fábrica Crystal;15,8 x 7,8 cm;Cerâmica e vidrado Transferência ou Impressão (Decalcomania);Rua dos 48 n° 34;Batista Campos;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FD 7-1-1;x/Portugal;Sacavém;15,8 x 7,8 cm;Cerâmica e vidrado Transferência ou Impressão (Decalcomania);Travessa Gurupá n° 250;Cidade Velha;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FD 7-1-2;x/Portugal;Sacavém;15,8 x 7,8 cm;Cerâmica e vidrado Transferência ou Impressão (Decalcomania);"Travessa Dom Pedro n° 704; Rua Santo Antônio n° 202, 206/208 e 210/216; Travessa Gurupá n° 250";Cidade Velha/Campina/Umarizal;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FD 8-1-1;x;x;15,2 x 7 cm;Cerâmica e vidrado Transferência ou Impressão (Decalcomania);Rua Ó de Almeida n° 648;Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FD 9-1-1;x;x;14,8 x 7,4 cm ;Cerâmica e vidrado Transferência ou Impressão (Decalcomania);Travessa Padre Eutiquio n° 1367;Batista Campos;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FD 10-1-1;x/Alemanha;Grohn;15 x 7 cm;Cerâmica e vidrado Transferência ou Impressão (Decalcomania);"Rua Alcindo Cacela n° 2074; Rua Bernardo Couto n° 785, 791 e 797; Rua Carlos Gomes n° 23, 29 e 37; Avenida Conselheiro Furtado n° 584; Rua Gaspar Viana n° 384; Avenida Nazaré n° 1319; Rua Ó de Almeida n° 760; Rua 15 de Novembro n° 15/25; Rua 28 de Setembro n° 982 e 1163";Campina/ Reduto/Nazaré/Umarizal/Batista Campos;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FD 11-1-1;x/Alemanha;Villeroy & Boch Mosaik Fabrik in Merzig a/Saar - n° do catálogo 289 e Les Majoliques de Hasselt;15,2 x 7,6 cm;Cerâmica e vidrado Transferência ou Impressão (Decalcomania);"Rua Ó de Almeida n° 252 e 879; Travessa Piedade n° 298/302/306; Rua Senador Manoel Barata n° 1186 e 1200; Rua 13 de Maio n° 162/168; Travessa Padre Eutiquio n° 252 esquina da Travessa 13 de Maio";Reduto/Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FD 12-1-1;x;x;15,4 x 7,1 cm;Cerâmica e vidrado Transferência ou Impressão (Decalcomania);"Travessa Dom Pedro n° 830 e 836; Avenida Alcindo Cacela n° 2080 e 2092";Nazaré/Umarizal;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FD 12-1-2;x;x;15,3 x 7,5 cm;Cerâmica e vidrado Transferência ou Impressão (Decalcomania);"Rua Pedro Prudêncio n° 556; Avenida José bonifácio n° 678; Rua dos Tamoios n° 1644";Campina/Batista Campos/São Brás;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FD 13-1-1;x/Provavelmente Alemanha;x;15 x 7,4 cm;Cerâmica e vidrado Transferência ou Impressão (Decalcomania);"Travessa Campos Sales n° 553; Avenida José Malcher n° 754; Travessa Dr. Moraes n° 98; Travessa Honorio Santos n° 256";Campina/Nazaré/Jurunas;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FD 14-1-1;x;x;15,4 x 7,1 cm;Cerâmica e vidrado Transferência ou Impressão (Decalcomania);Travessa da Piedade n° 341;Reduto;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FD 14-1-2;x;x;15,4 x 7 cm;Cerâmica e vidrado Transferência ou Impressão (Decalcomania);Avenida Alcindo Cacela n° 1866;Nazaré;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FD 15-1-1;x/Provavelmente Alemanha;x;15,2 x 7,5 cm;Cerâmica e vidrado Transferência ou Impressão (Decalcomania);"Travessa 13 de Março n° 1704; Rua Ó de Almeida n° 125; Rua Marquês de Pombal n° 118/122; Rua Tomázia Perdigão n° 188/190; Rua Dr. Assis n° 667; Travessa Padre Eutiquio n° 397/399; Rua 28 de Setembro n° 1155 e 1177";Cidade Velha/Campina/Reduto/Nazaré;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FD 16-1-2;x/França;Desvres;15,4 x 8,5 cm;Cerâmica e vidrado Transferência ou Impressão (Decalcomania);"Avenida Generalíssimo Deodoro n° 254 e 260; Avenida Alcindo Cacela n° 2098 e 2110 e Avenida 16 de Novembro n° 112";Cidade Velha/Nazaré/Umarizal;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FD 17-1-1;x;x;15 x 7 cm;Cerâmica e vidrado Transferência ou Impressão (Decalcomania);Rua Tomázia Perdigão n° 248;Cidade Velha;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FD 20-1-1;x;x;14,5 x 7,5 cm;Cerâmica e vidrado Transferência ou Impressão;"Rua Arcipreste Manoel Teodoro n° 820; Rua Ó de Almeida n° 527; Rua Senador Manoel Barata n° 214/216; Rua Gaspar Viana n° 184/190";Campina/Batista Campos;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FD 21-1-1;x;x;x;Cerâmica e vidrado Transferência ou Impressão;Avenida Nazaré n° 210;Nazaré;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FD 22-1-1;x/França;Longwy;15,3 x 7,7 cm;Cerâmica e vidrado Transferência ou Impressão;Demolido;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CMR 1-1-1;x/Provavelmente Alemanha;Provavelmente Villeroy & boch;14,5 x 14,5 cm;"Cerâmica e vidrado 
Meio Relevo";Rua Marques de Pombal n° 84/90;Cidade Velha;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CMR 2-1-1;x/Alemanha;Villeroy & Boch Mosaik Fabrik in Mettlach - n° do catálogo 127;17,5 x 17,5 cm;"Cerâmica e vidrado 
Meio Relevo";"Rua Senador Manoel Barata 284/298; Rua Dr.Assis n° 586; Travessa Padre Eutiquio n° 298, 859 e 869";Cidade Velha;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CMR 3-1-1;x;x;x;"Cerâmica e vidrado 
Meio Relevo";Demolido antes de 1986;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CMR 4-1-1;x;x;x;"Cerâmica e vidrado 
Meio Relevo";Demolido antes de 1986;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FMR 1-1-1;x;x;x;"Cerâmica e vidrado 
Meio Relevo";Avenida Governador José Malcher n° 459;Nazaré;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FMR 2-1-1;x;x;15,1 x 7,5 cm;"Cerâmica e vidrado 
Meio Relevo";Avenida Senador Manoel Barata n° 1343;Reduto;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FMR 3-1-1;x;x;x;"Cerâmica e vidrado 
Meio Relevo";Travessa Quintino Bocaiúva n° 1455;Nazaré;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FMR 4-1-1;x;x;x;"Cerâmica e vidrado 
Meio Relevo";Rua 15 de Novembro n° 280, esquina da Travessa Campos Sales;Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FMR 5-1-1;x;x;x;"Cerâmica e vidrado 
Meio Relevo";Avenida Nazaré n° 744;São Brás;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FMR 6-1-1 (a e b);x;x;x;"Cerâmica e vidrado 
Meio Relevo";Demolido antes de 1986;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FMR 7-1-1;Sacavém/Portugal;Real Fábrica de louças-Gilmar & Cia Ltda.;15,1 x 7,5 cm;"Cerâmica e vidrado 
Meio Relevo";Avenida Gentil Bittencourt n° 1537;Nazaré;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FMR 8-1-1;x;Helmanceramique;x;"Cerâmica e vidrado 
Meio Relevo";Mercado de Carne (Rua 15 de Novembro);Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FMR 9-1-1;x;x;15 x 7,5 cm ;"Cerâmica e vidrado 
Meio Relevo";Demolido;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FMR 10-1-1;x;x;15 x 7,5 cm ;"Cerâmica e vidrado 
Meio Relevo";Demolido;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CR 2-1-1;Porto/Portugal;Massarelos;11,5 x 13,5 cm;"Cerâmica e vidrado 
Relevo";Avenida Generalíssimo Deodoro n° 1410;Nazaré;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FR 1-1-1;x/Portugal;Massarelos - Devezas;x;"Cerâmica e vidrado 
Relevo";Rua 15 de Novembro n° 319;Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FR 3-1-1;Porto/Portugal;x;x;"Cerâmica e vidrado 
Relevo";Demolido antes de 1986;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FR 4-1-1;Porto/Portugal;Massarelos ou Devezas ou Santo Antonio do Vale da Piedade;x;"Cerâmica e vidrado 
Relevo";Rua 15 de Novembro n° 319;Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FR 5-1-1;Porto/Portugal;Massarelos - Devezas;14 x 7,6 cm;"Cerâmica e vidrado 
Relevo";Travessa Frutuoso Guimarães n° 611;Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FR 6-1-1;x;x;15 x 5 cm;"Cerâmica e vidrado 
Relevo";Demolido;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
